TIMESTAMP: 0.000000, X: 8.433603, Y: 1.918503, Z: 1.576132, PITCH: 0.010958, YAW: -1.305193
TIMESTAMP: 0.100000, X: 8.433601, Y: 1.918506, Z: 1.576133, PITCH: 0.011037, YAW: -1.314616
TIMESTAMP: 0.200000, X: 8.433576, Y: 1.918549, Z: 1.576145, PITCH: 0.011460, YAW: -1.364940
TIMESTAMP: 0.300000, X: 8.433474, Y: 1.918729, Z: 1.576197, PITCH: 0.011838, YAW: -1.409853
TIMESTAMP: 0.400000, X: 8.433206, Y: 1.919192, Z: 1.576335, PITCH: 0.011962, YAW: -1.424688
TIMESTAMP: 0.500000, X: 8.432661, Y: 1.920127, Z: 1.576627, PITCH: 0.012140, YAW: -1.445988
TIMESTAMP: 0.600000, X: 8.431702, Y: 1.921752, Z: 1.577156, PITCH: 0.012463, YAW: -1.484436
TIMESTAMP: 0.700000, X: 8.430177, Y: 1.924307, Z: 1.578021, PITCH: 0.012753, YAW: -1.518913
TIMESTAMP: 0.800000, X: 8.427918, Y: 1.928047, Z: 1.579339, PITCH: 0.012965, YAW: -1.544184
TIMESTAMP: 0.900000, X: 8.424747, Y: 1.933235, Z: 1.581242, PITCH: 0.013195, YAW: -1.571615
TIMESTAMP: 1.000000, X: 8.420478, Y: 1.940132, Z: 1.583874, PITCH: 0.013467, YAW: -1.603932
TIMESTAMP: 1.100000, X: 8.414923, Y: 1.948998, Z: 1.587392, PITCH: 0.013729, YAW: -1.635090
TIMESTAMP: 1.200000, X: 8.407892, Y: 1.960082, Z: 1.591965, PITCH: 0.013968, YAW: -1.663680
TIMESTAMP: 1.300000, X: 8.399195, Y: 1.973617, Z: 1.597768, PITCH: 0.014213, YAW: -1.692880
TIMESTAMP: 1.400000, X: 8.388649, Y: 1.989823, Z: 1.604987, PITCH: 0.014470, YAW: -1.723428
TIMESTAMP: 1.500000, X: 8.376075, Y: 2.008896, Z: 1.613811, PITCH: 0.014724, YAW: -1.753653
TIMESTAMP: 1.600000, X: 8.361304, Y: 2.031012, Z: 1.624434, PITCH: 0.014971, YAW: -1.783175
TIMESTAMP: 1.700000, X: 8.344176, Y: 2.056322, Z: 1.637051, PITCH: 0.015221, YAW: -1.812866
TIMESTAMP: 1.800000, X: 8.324544, Y: 2.084948, Z: 1.651859, PITCH: 0.015473, YAW: -1.842923
TIMESTAMP: 1.900000, X: 8.302273, Y: 2.116991, Z: 1.669052, PITCH: 0.015724, YAW: -1.872894
TIMESTAMP: 2.000000, X: 8.277245, Y: 2.152520, Z: 1.688819, PITCH: 0.015975, YAW: -1.902671
TIMESTAMP: 2.100000, X: 8.249355, Y: 2.191580, Z: 1.711344, PITCH: 0.016227, YAW: -1.932492
TIMESTAMP: 2.200000, X: 8.218515, Y: 2.234188, Z: 1.736803, PITCH: 0.016476, YAW: -1.962419
TIMESTAMP: 2.300000, X: 8.184657, Y: 2.280334, Z: 1.765363, PITCH: 0.016724, YAW: -1.992326
TIMESTAMP: 2.400000, X: 8.147728, Y: 2.329986, Z: 1.797179, PITCH: 0.016978, YAW: -2.022167
TIMESTAMP: 2.500000, X: 8.107695, Y: 2.383086, Z: 1.832390, PITCH: 0.017235, YAW: -2.052012
TIMESTAMP: 2.600000, X: 8.064543, Y: 2.439555, Z: 1.871124, PITCH: 0.017480, YAW: -2.081915
TIMESTAMP: 2.700000, X: 8.018275, Y: 2.499292, Z: 1.913488, PITCH: 0.017719, YAW: -2.111826
TIMESTAMP: 2.800000, X: 7.968914, Y: 2.562181, Z: 1.959571, PITCH: 0.017981, YAW: -2.141663
TIMESTAMP: 2.900000, X: 7.916500, Y: 2.628087, Z: 2.009442, PITCH: 0.018253, YAW: -2.171474
TIMESTAMP: 3.000000, X: 7.861093, Y: 2.696862, Z: 2.063149, PITCH: 0.018483, YAW: -2.201411
TIMESTAMP: 3.100000, X: 7.802770, Y: 2.768348, Z: 2.120715, PITCH: 0.018694, YAW: -2.231400
TIMESTAMP: 3.200000, X: 7.741624, Y: 2.842374, Z: 2.182139, PITCH: 0.018985, YAW: -2.261159
