TIMESTAMP: 0.000000, X: 2.497755, Y: 17.559206, Z: -11.000000, PITCH: 0.131149, YAW: -0.985920
TIMESTAMP: 0.100000, X: 2.497758, Y: 17.559204, Z: -10.999998, PITCH: 0.131859, YAW: -0.991258
TIMESTAMP: 0.200000, X: 2.497812, Y: 17.559178, Z: -10.999974, PITCH: 0.135651, YAW: -1.019762
TIMESTAMP: 0.300000, X: 2.498036, Y: 17.559070, Z: -10.999871, PITCH: 0.139039, YAW: -1.045224
TIMESTAMP: 0.400000, X: 2.498614, Y: 17.558790, Z: -10.999603, PITCH: 0.140152, YAW: -1.053604
TIMESTAMP: 0.500000, X: 2.499785, Y: 17.558220, Z: -10.999060, PITCH: 0.141752, YAW: -1.065642
TIMESTAMP: 0.600000, X: 2.501827, Y: 17.557223, Z: -10.998110, PITCH: 0.144654, YAW: -1.087445
TIMESTAMP: 0.700000, X: 2.505050, Y: 17.555644, Z: -10.996606, PITCH: 0.147259, YAW: -1.107009
TIMESTAMP: 0.800000, X: 2.509781, Y: 17.553316, Z: -10.994389, PITCH: 0.149156, YAW: -1.121287
TIMESTAMP: 0.900000, X: 2.516365, Y: 17.550062, Z: -10.991292, PITCH: 0.151217, YAW: -1.136794
TIMESTAMP: 1.000000, X: 2.525145, Y: 17.545703, Z: -10.987144, PITCH: 0.153657, YAW: -1.155129
TIMESTAMP: 1.100000, X: 2.536464, Y: 17.540056, Z: -10.981775, PITCH: 0.156010, YAW: -1.172803
TIMESTAMP: 1.200000, X: 2.550651, Y: 17.532941, Z: -10.975014, PITCH: 0.158159, YAW: -1.188970
TIMESTAMP: 1.300000, X: 2.568020, Y: 17.524182, Z: -10.966698, PITCH: 0.160355, YAW: -1.205491
TIMESTAMP: 1.400000, X: 2.588863, Y: 17.513612, Z: -10.956670, PITCH: 0.162661, YAW: -1.222812
TIMESTAMP: 1.500000, X: 2.613443, Y: 17.501069, Z: -10.944780, PITCH: 0.164941, YAW: -1.239946
TIMESTAMP: 1.600000, X: 2.641994, Y: 17.486405, Z: -10.930894, PITCH: 0.167162, YAW: -1.256654
TIMESTAMP: 1.700000, X: 2.674712, Y: 17.469485, Z: -10.914889, PITCH: 0.169398, YAW: -1.273462
TIMESTAMP: 1.800000, X: 2.711758, Y: 17.450185, Z: -10.896655, PITCH: 0.171664, YAW: -1.290496
TIMESTAMP: 1.900000, X: 2.753250, Y: 17.428401, Z: -10.876099, PITCH: 0.173923, YAW: -1.307476
TIMESTAMP: 2.000000, X: 2.799266, Y: 17.404039, Z: -10.853146, PITCH: 0.176166, YAW: -1.324337
TIMESTAMP: 2.100000, X: 2.849837, Y: 17.377029, Z: -10.827736, PITCH: 0.178412, YAW: -1.341226
TIMESTAMP: 2.200000, X: 2.904952, Y: 17.347312, Z: -10.799829, PITCH: 0.180667, YAW: -1.358179
TIMESTAMP: 2.300000, X: 2.964552, Y: 17.314851, Z: -10.769403, PITCH: 0.182921, YAW: -1.375117
TIMESTAMP: 2.400000, X: 3.028534, Y: 17.279626, Z: -10.736453, PITCH: 0.185169, YAW: -1.392021
TIMESTAMP: 2.500000, X: 3.096749, Y: 17.241633, Z: -10.700996, PITCH: 0.187419, YAW: -1.408933
TIMESTAMP: 2.600000, X: 3.169004, Y: 17.200888, Z: -10.663065, PITCH: 0.189671, YAW: -1.425862
TIMESTAMP: 2.700000, X: 3.245061, Y: 17.157424, Z: -10.622711, PITCH: 0.191922, YAW: -1.442788
TIMESTAMP: 2.800000, X: 3.324643, Y: 17.111290, Z: -10.580005, PITCH: 0.194173, YAW: -1.459704
TIMESTAMP: 2.900000, X: 3.407429, Y: 17.062552, Z: -10.535035, PITCH: 0.196423, YAW: -1.476622
TIMESTAMP: 3.000000, X: 3.493062, Y: 17.011291, Z: -10.487902, PITCH: 0.198674, YAW: -1.493546
TIMESTAMP: 3.100000, X: 3.581148, Y: 16.957602, Z: -10.438729, PITCH: 0.200925, YAW: -1.510468
TIMESTAMP: 3.200000, X: 3.671260, Y: 16.901595, Z: -10.387648, PITCH: 0.203176, YAW: -1.527388
TIMESTAMP: 3.300000, X: 3.762940, Y: 16.843393, Z: -10.334809, PITCH: 0.205427, YAW: -1.544308
TIMESTAMP: 3.400000, X: 3.855704, Y: 16.783127, Z: -10.280373, PITCH: 0.207678, YAW: -1.561229
TIMESTAMP: 3.500000, X: 3.949039, Y: 16.720943, Z: -10.224513, PITCH: 0.209927, YAW: -1.578150
TIMESTAMP: 3.600000, X: 4.042417, Y: 16.656992, Z: -10.167413, PITCH: 0.212179, YAW: -1.595071
TIMESTAMP: 3.700000, X: 4.135288, Y: 16.591435, Z: -10.109264, PITCH: 0.214432, YAW: -1.611992
TIMESTAMP: 3.800000, X: 4.227088, Y: 16.524438, Z: -10.050269, PITCH: 0.216681, YAW: -1.628913
TIMESTAMP: 3.900000, X: 4.317247, Y: 16.456173, Z: -9.990632, PITCH: 0.218928, YAW: -1.645833
TIMESTAMP: 4.000000, X: 4.405183, Y: 16.386815, Z: -9.930566, PITCH: 0.221183, YAW: -1.662754
TIMESTAMP: 4.100000, X: 4.490314, Y: 16.316539, Z: -9.870286, PITCH: 0.223441, YAW: -1.679675
TIMESTAMP: 4.200000, X: 4.572059, Y: 16.245524, Z: -9.810009, PITCH: 0.225684, YAW: -1.696596
TIMESTAMP: 4.300000, X: 4.649843, Y: 16.173945, Z: -9.749952, PITCH: 0.227921, YAW: -1.713516
TIMESTAMP: 4.400000, X: 4.723097, Y: 16.101978, Z: -9.690333, PITCH: 0.230186, YAW: -1.730438
TIMESTAMP: 4.500000, X: 4.791267, Y: 16.029791, Z: -9.631364, PITCH: 0.232463, YAW: -1.747360
TIMESTAMP: 4.600000, X: 4.853814, Y: 15.957552, Z: -9.573258, PITCH: 0.234688, YAW: -1.764280
TIMESTAMP: 4.700000, X: 4.910220, Y: 15.885419, Z: -9.516218, PITCH: 0.236889, YAW: -1.781199
TIMESTAMP: 4.800000, X: 4.959989, Y: 15.813545, Z: -9.460444, PITCH: 0.239189, YAW: -1.798121
TIMESTAMP: 4.900000, X: 5.002655, Y: 15.742072, Z: -9.406125, PITCH: 0.241533, YAW: -1.815046
TIMESTAMP: 5.000000, X: 5.037778, Y: 15.671134, Z: -9.353443, PITCH: 0.243691, YAW: -1.831963
TIMESTAMP: 5.100000, X: 5.064954, Y: 15.600854, Z: -9.302569, PITCH: 0.245769, YAW: -1.848877
TIMESTAMP: 5.200000, X: 5.083814, Y: 15.531343, Z: -9.253662, PITCH: 0.248193, YAW: -1.865805
TIMESTAMP: 5.300000, X: 5.094029, Y: 15.462702, Z: -9.206869, PITCH: 0.250773, YAW: -1.882738
TIMESTAMP: 5.400000, X: 5.095310, Y: 15.395016, Z: -9.162322, PITCH: 0.252694, YAW: -1.899646
TIMESTAMP: 5.500000, X: 5.087411, Y: 15.328359, Z: -9.120141, PITCH: 0.254279, YAW: -1.916542
TIMESTAMP: 5.600000, X: 5.070131, Y: 15.262789, Z: -9.080430, PITCH: 0.257196, YAW: -1.933488
TIMESTAMP: 5.700000, X: 5.043318, Y: 15.198353, Z: -9.043276, PITCH: 0.261253, YAW: -1.950478
