TIMESTAMP: 0.000000, X: 2.172627, Y: 3.112132, Z: -0.833826, PITCH: 0.133689, YAW: 0.373091
TIMESTAMP: 0.100000, X: 2.172630, Y: 3.112136, Z: -0.833827, PITCH: 0.134675, YAW: 0.375844
TIMESTAMP: 0.200000, X: 2.172669, Y: 3.112191, Z: -0.833837, PITCH: 0.139942, YAW: 0.390541
TIMESTAMP: 0.300000, X: 2.172833, Y: 3.112421, Z: -0.833879, PITCH: 0.144648, YAW: 0.403675
TIMESTAMP: 0.400000, X: 2.173258, Y: 3.113017, Z: -0.833985, PITCH: 0.146195, YAW: 0.407992
TIMESTAMP: 0.500000, X: 2.174119, Y: 3.114228, Z: -0.834198, PITCH: 0.148417, YAW: 0.414195
TIMESTAMP: 0.600000, X: 2.175626, Y: 3.116347, Z: -0.834563, PITCH: 0.152448, YAW: 0.425442
TIMESTAMP: 0.700000, X: 2.178011, Y: 3.119702, Z: -0.835130, PITCH: 0.156065, YAW: 0.435536
TIMESTAMP: 0.800000, X: 2.181524, Y: 3.124647, Z: -0.835952, PITCH: 0.158701, YAW: 0.442892
TIMESTAMP: 0.900000, X: 2.186429, Y: 3.131554, Z: -0.837079, PITCH: 0.161563, YAW: 0.450883
TIMESTAMP: 1.000000, X: 2.192995, Y: 3.140806, Z: -0.838561, PITCH: 0.164954, YAW: 0.460343
TIMESTAMP: 1.100000, X: 2.201494, Y: 3.152787, Z: -0.840444, PITCH: 0.168221, YAW: 0.469461
TIMESTAMP: 1.200000, X: 2.212192, Y: 3.167878, Z: -0.842772, PITCH: 0.171207, YAW: 0.477793
TIMESTAMP: 1.300000, X: 2.225352, Y: 3.186451, Z: -0.845583, PITCH: 0.174257, YAW: 0.486308
TIMESTAMP: 1.400000, X: 2.241223, Y: 3.208863, Z: -0.848911, PITCH: 0.177460, YAW: 0.495244
TIMESTAMP: 1.500000, X: 2.260042, Y: 3.235454, Z: -0.852784, PITCH: 0.180627, YAW: 0.504081
TIMESTAMP: 1.600000, X: 2.282028, Y: 3.266539, Z: -0.857228, PITCH: 0.183712, YAW: 0.512694
TIMESTAMP: 1.700000, X: 2.307382, Y: 3.302409, Z: -0.862260, PITCH: 0.186817, YAW: 0.521359
TIMESTAMP: 1.800000, X: 2.336283, Y: 3.343325, Z: -0.867895, PITCH: 0.189965, YAW: 0.530144
TIMESTAMP: 1.900000, X: 2.368890, Y: 3.389516, Z: -0.874143, PITCH: 0.193104, YAW: 0.538902
TIMESTAMP: 2.000000, X: 2.405336, Y: 3.441181, Z: -0.881010, PITCH: 0.196218, YAW: 0.547595
TIMESTAMP: 2.100000, X: 2.445730, Y: 3.498483, Z: -0.888500, PITCH: 0.199338, YAW: 0.556301
TIMESTAMP: 2.200000, X: 2.490156, Y: 3.561549, Z: -0.896613, PITCH: 0.202471, YAW: 0.565045
TIMESTAMP: 2.300000, X: 2.538672, Y: 3.630472, Z: -0.905348, PITCH: 0.205602, YAW: 0.573782
